iter	Passed	Remaining
0	9	9576
1	17	8804
2	25	8591
3	33	8463
4	41	8310
5	49	8228
6	57	8149
7	64	8028
8	72	7941
9	80	8008
10	89	8040
11	97	8009
12	106	8067
13	113	8027
14	121	7987
15	128	7919
16	136	7902
17	143	7831
18	150	7776
19	157	7713
20	165	7700
21	172	7680
22	179	7645
23	187	7607
24	194	7594
25	201	7555
26	208	7519
27	217	7546
28	224	7530
29	231	7495
30	238	7465
31	245	7428
32	252	7384
33	258	7357
34	265	7317
35	272	7286
36	278	7254
37	285	7215
38	291	7194
39	298	7163
40	305	7141
41	311	7109
42	318	7083
43	324	7056
44	331	7032
45	337	7004
46	344	6981
47	351	6963
48	357	6943
49	364	6924
50	371	6908
51	377	6890
52	384	6875
53	391	6859
54	398	6848
55	405	6828
56	411	6815
57	418	6799
58	426	6795
59	433	6796
60	440	6780
61	447	6766
62	453	6752
63	460	6739
64	467	6728
65	475	6733
66	483	6732
67	490	6719
68	497	6710
69	504	6696
70	510	6681
71	517	6666
72	524	6659
73	531	6645
74	538	6636
75	545	6633
76	552	6625
77	559	6615
78	567	6611
79	574	6604
80	581	6593
81	588	6583
82	594	6572
83	602	6565
84	609	6558
85	617	6559
86	624	6549
87	631	6546
88	639	6549
89	647	6543
90	655	6543
91	662	6537
92	669	6527
93	676	6519
94	684	6523
95	692	6518
96	698	6506
97	706	6499
98	713	6489
99	720	6480
100	726	6470
101	733	6460
102	741	6454
103	748	6448
104	755	6443
105	763	6436
106	770	6429
107	777	6421
108	784	6412
109	791	6406
110	798	6398
111	806	6392
112	813	6385
113	820	6380
114	828	6378
115	837	6380
116	844	6375
117	851	6366
118	858	6359
119	866	6357
120	874	6352
121	881	6344
122	889	6340
123	896	6333
124	904	6328
125	911	6322
126	918	6316
127	926	6312
128	934	6310
129	941	6300
130	949	6295
131	955	6285
132	962	6277
133	970	6270
134	977	6262
135	984	6253
136	991	6246
137	998	6237
138	1005	6229
139	1012	6220
140	1020	6214
141	1027	6206
142	1035	6204
143	1042	6199
144	1050	6192
145	1057	6185
146	1065	6180
147	1072	6173
148	1079	6167
149	1086	6157
150	1093	6148
151	1101	6142
152	1107	6133
153	1115	6129
154	1122	6121
155	1130	6115
156	1137	6109
157	1145	6103
158	1152	6095
159	1159	6086
160	1166	6078
161	1173	6071
162	1180	6064
163	1188	6056
164	1195	6048
165	1201	6038
166	1209	6032
167	1216	6023
168	1223	6017
169	1230	6009
170	1239	6008
171	1246	6002
172	1254	5994
173	1261	5987
174	1269	5983
175	1276	5976
176	1283	5970
177	1291	5962
178	1298	5953
179	1305	5946
180	1312	5937
181	1319	5929
182	1326	5921
183	1333	5912
184	1340	5904
185	1347	5895
186	1354	5887
187	1361	5879
188	1368	5871
189	1375	5864
190	1382	5857
191	1390	5849
192	1397	5841
193	1404	5834
194	1411	5828
195	1419	5822
196	1426	5816
197	1433	5807
198	1441	5802
199	1449	5796
200	1456	5788
201	1463	5781
202	1470	5774
203	1477	5765
204	1484	5758
205	1491	5749
206	1498	5741
207	1505	5733
208	1512	5724
209	1520	5718
210	1527	5710
211	1534	5702
212	1541	5694
213	1548	5686
214	1555	5678
215	1563	5673
216	1569	5664
217	1577	5658
218	1584	5649
219	1591	5642
220	1598	5634
221	1605	5626
222	1613	5621
223	1621	5616
224	1628	5609
225	1635	5602
226	1643	5597
227	1651	5592
228	1659	5588
229	1667	5580
230	1674	5573
231	1681	5566
232	1688	5559
233	1695	5551
234	1703	5545
235	1710	5537
236	1717	5529
237	1724	5521
238	1731	5514
239	1738	5506
240	1746	5499
241	1753	5492
242	1760	5485
243	1767	5477
244	1775	5471
245	1782	5463
246	1789	5456
247	1797	5449
248	1804	5442
249	1811	5435
250	1818	5427
251	1826	5421
252	1833	5414
253	1840	5406
254	1847	5398
255	1855	5392
256	1862	5385
257	1870	5380
258	1878	5373
259	1885	5365
260	1892	5357
261	1899	5350
262	1906	5343
263	1914	5336
264	1921	5329
265	1928	5321
266	1936	5315
267	1943	5307
268	1950	5299
269	1957	5292
270	1964	5285
271	1972	5278
272	1979	5270
273	1986	5262
274	1993	5256
275	2001	5249
276	2008	5241
277	2015	5233
278	2022	5225
279	2029	5218
280	2035	5209
281	2043	5204
282	2051	5197
283	2059	5192
284	2067	5186
285	2074	5179
286	2081	5171
287	2088	5163
288	2096	5156
289	2103	5149
290	2110	5142
291	2117	5135
292	2125	5127
293	2132	5120
294	2139	5112
295	2146	5105
296	2153	5097
297	2161	5091
298	2168	5084
299	2175	5076
300	2182	5069
301	2190	5062
302	2197	5054
303	2204	5047
304	2211	5039
305	2218	5032
306	2226	5024
307	2233	5017
308	2240	5010
309	2247	5003
310	2254	4995
311	2262	4988
312	2269	4981
313	2277	4975
314	2285	4969
315	2292	4962
316	2299	4954
317	2306	4946
318	2313	4939
319	2320	4930
320	2327	4923
321	2334	4915
322	2341	4908
323	2348	4900
324	2356	4893
325	2363	4886
326	2370	4878
327	2377	4871
328	2384	4863
329	2391	4856
330	2398	4848
331	2405	4840
332	2413	4833
333	2420	4826
334	2427	4818
335	2435	4812
336	2442	4805
337	2449	4798
338	2457	4791
339	2464	4784
340	2472	4777
341	2479	4770
342	2486	4763
343	2493	4755
344	2500	4747
345	2508	4740
346	2515	4732
347	2522	4726
348	2529	4717
349	2536	4710
350	2543	4702
351	2550	4695
352	2557	4688
353	2565	4680
354	2572	4674
355	2579	4666
356	2588	4662
357	2595	4655
358	2603	4648
359	2610	4640
360	2617	4633
361	2624	4625
362	2632	4618
363	2639	4611
364	2647	4605
365	2654	4598
366	2662	4592
367	2669	4584
368	2678	4580
369	2685	4573
370	2693	4566
371	2700	4558
372	2707	4551
373	2714	4543
374	2721	4535
375	2728	4528
376	2736	4521
377	2743	4513
378	2750	4506
379	2757	4498
380	2763	4490
381	2771	4483
382	2777	4475
383	2784	4467
384	2791	4459
385	2798	4451
386	2805	4443
387	2812	4436
388	2819	4429
389	2826	4421
390	2834	4414
391	2841	4407
392	2848	4399
393	2855	4392
394	2862	4384
395	2869	4377
396	2876	4369
397	2883	4361
398	2891	4355
399	2898	4348
400	2905	4340
401	2912	4332
402	2919	4324
403	2926	4317
404	2933	4309
405	2940	4302
406	2947	4294
407	2955	4287
408	2962	4280
409	2969	4273
410	2977	4266
411	2984	4258
412	2991	4251
413	2998	4244
414	3005	4236
415	3012	4229
416	3020	4222
417	3027	4215
418	3034	4207
419	3042	4201
420	3049	4193
421	3056	4186
422	3064	4180
423	3072	4173
424	3079	4166
425	3086	4158
426	3093	4151
427	3101	4144
428	3107	4136
429	3114	4128
430	3121	4121
431	3128	4113
432	3135	4105
433	3142	4097
434	3149	4090
435	3156	4083
436	3163	4076
437	3171	4068
438	3178	4061
439	3185	4053
440	3192	4047
441	3199	4039
442	3207	4032
443	3214	4025
444	3221	4018
445	3229	4011
446	3237	4004
447	3244	3997
448	3251	3989
449	3258	3982
450	3265	3974
451	3272	3967
452	3279	3960
453	3287	3953
454	3294	3946
455	3302	3939
456	3309	3931
457	3316	3924
458	3323	3916
459	3330	3909
460	3337	3902
461	3345	3895
462	3352	3888
463	3360	3881
464	3367	3874
465	3374	3867
466	3381	3859
467	3389	3852
468	3396	3845
469	3404	3838
470	3411	3831
471	3418	3823
472	3425	3816
473	3432	3809
474	3439	3801
475	3446	3794
476	3453	3786
477	3460	3779
478	3468	3772
479	3475	3765
480	3482	3757
481	3489	3750
482	3497	3744
483	3501	3733
484	3508	3725
485	3516	3719
486	3523	3711
487	3530	3704
488	3538	3697
489	3546	3690
490	3553	3683
491	3560	3676
492	3567	3669
493	3575	3662
494	3582	3654
495	3589	3647
496	3596	3639
497	3603	3632
498	3611	3626
499	3619	3619
500	3626	3612
501	3634	3605
502	3641	3597
503	3648	3590
504	3655	3582
505	3661	3575
506	3669	3567
507	3676	3560
508	3683	3552
509	3690	3545
510	3698	3538
511	3705	3532
512	3713	3524
513	3720	3517
514	3727	3510
515	3734	3502
516	3741	3495
517	3748	3488
518	3755	3480
519	3763	3474
520	3771	3467
521	3780	3461
522	3787	3454
523	3796	3448
524	3804	3441
525	3812	3435
526	3820	3429
527	3828	3422
528	3836	3415
529	3844	3409
530	3851	3402
531	3854	3390
532	3862	3383
533	3869	3377
534	3877	3369
535	3884	3363
536	3892	3356
537	3901	3350
538	3908	3342
539	3915	3335
540	3922	3327
541	3929	3320
542	3934	3310
543	3941	3303
544	3947	3295
545	3954	3288
546	3961	3281
547	3968	3273
548	3976	3266
549	3983	3259
550	3990	3251
551	3997	3244
552	4005	3237
553	4012	3230
554	4019	3223
555	4027	3215
556	4034	3208
557	4041	3201
558	4048	3193
559	4054	3185
560	4061	3178
561	4068	3170
562	4074	3162
563	4081	3155
564	4088	3147
565	4094	3139
566	4102	3133
567	4110	3126
568	4117	3118
569	4123	3110
570	4130	3103
571	4136	3095
572	4143	3087
573	4150	3080
574	4156	3072
575	4163	3064
576	4169	3056
577	4176	3049
578	4183	3041
579	4189	3033
580	4196	3026
581	4203	3018
582	4209	3011
583	4216	3003
584	4223	2996
585	4230	2988
586	4237	2981
587	4244	2973
588	4251	2966
589	4257	2958
590	4264	2951
591	4271	2943
592	4278	2936
593	4285	2929
594	4292	2921
595	4299	2914
596	4306	2907
597	4314	2900
598	4322	2893
599	4329	2886
600	4336	2879
601	4344	2872
602	4350	2864
