iter	MultiClass
0	1.782262702
1	1.772246067
2	1.759793486
3	1.750969632
4	1.742520334
5	1.734067639
6	1.726333451
7	1.718776908
8	1.711161621
9	1.702587259
10	1.692620864
11	1.683280398
12	1.673325269
13	1.664069495
14	1.654627302
15	1.645948013
16	1.636488384
17	1.628244084
18	1.618891016
19	1.611627615
20	1.604827839
21	1.596431016
22	1.589372469
23	1.582011503
24	1.575094879
25	1.567714634
26	1.56063098
27	1.554804428
28	1.548442438
29	1.540688794
30	1.53489718
31	1.528945536
32	1.521325998
33	1.514177203
34	1.507622559
35	1.502272869
36	1.495010737
37	1.489154508
38	1.48264442
39	1.476488055
40	1.470427519
41	1.463782601
42	1.456739026
43	1.451174845
44	1.445823355
45	1.440474215
46	1.43443413
47	1.429662932
48	1.423762117
49	1.418560077
50	1.413158846
51	1.408763098
52	1.403640416
53	1.398445015
54	1.391695024
55	1.386075858
56	1.38141162
57	1.3752533
58	1.36966509
59	1.364138582
60	1.359134305
61	1.354018386
62	1.349461926
63	1.344891625
64	1.340004671
65	1.335172629
66	1.331053877
67	1.326876476
68	1.321755887
69	1.317548854
70	1.312469013
71	1.30826357
72	1.304078346
73	1.299702948
74	1.295695858
75	1.290828688
76	1.287135054
77	1.282375927
78	1.278762948
79	1.274720905
80	1.270331959
81	1.266204213
82	1.26169601
83	1.257392982
84	1.252937361
85	1.249236439
86	1.245425243
87	1.241966191
88	1.238439889
89	1.234434461
90	1.230351322
91	1.226712128
92	1.222589395
93	1.218821572
94	1.215174723
95	1.211377415
96	1.207224399
97	1.203283355
98	1.199645612
99	1.196168356
100	1.192384745
101	1.189154029
102	1.185615966
103	1.182317942
104	1.179279434
105	1.175787628
106	1.172600269
107	1.169426608
108	1.166390822
109	1.16294783
110	1.159800313
111	1.156865829
112	1.154244253
113	1.151200493
114	1.147916427
115	1.145371984
116	1.142512306
117	1.139509194
118	1.136395807
119	1.133438333
120	1.129968639
121	1.127115415
122	1.124436276
123	1.120665955
124	1.117763894
125	1.114878937
126	1.112102907
127	1.109073991
128	1.106379708
129	1.103522505
130	1.100695688
131	1.098377184
132	1.095548524
133	1.093028133
134	1.090554284
135	1.087875811
136	1.085172751
137	1.082518334
138	1.079872553
139	1.07712714
140	1.074599821
141	1.072038087
142	1.069319094
143	1.066853531
144	1.064528573
145	1.062095199
146	1.059674123
147	1.057096392
148	1.054888533
149	1.052606524
150	1.050322919
151	1.047702301
152	1.045341607
153	1.042673793
154	1.040467836
155	1.037945859
156	1.035722429
157	1.033466037
158	1.031320495
159	1.029111238
160	1.026968637
161	1.024541513
162	1.022182862
163	1.019932952
164	1.017703801
165	1.015265806
166	1.01319173
167	1.010836228
168	1.00868582
169	1.006486198
170	1.004338311
171	1.001983198
172	0.9999476717
173	0.9976193611
174	0.9952208693
175	0.9931733959
176	0.9911407206
177	0.9888303881
178	0.9864922522
179	0.9844884389
180	0.9824098272
181	0.9802482
182	0.9779604863
183	0.9757780781
184	0.9739864238
185	0.972147621
186	0.9701662055
187	0.9681530286
188	0.9659896708
189	0.9640230447
190	0.9621887314
191	0.9601921786
192	0.9583347653
193	0.9563709485
194	0.9544976685
195	0.9526098582
196	0.9506591664
197	0.9488448871
198	0.9471255553
199	0.9451268291
200	0.9432022923
201	0.9413018914
202	0.9391633142
203	0.9372614834
204	0.9354032904
205	0.9338006392
206	0.9320589104
207	0.9302993928
208	0.928624261
209	0.9268998636
210	0.9250948412
211	0.9233528067
212	0.9215712159
213	0.9198254126
214	0.9180302918
215	0.9163488271
216	0.9145679203
217	0.9128868148
218	0.9111730552
219	0.9095556273
220	0.907840205
221	0.9060876531
222	0.9044101129
223	0.902794062
224	0.9011455631
225	0.8996823687
226	0.898173442
227	0.8965719917
228	0.894892153
229	0.8931965885
230	0.8917004007
231	0.8900418099
232	0.8885695483
233	0.8870059209
234	0.8854611509
235	0.8839745107
236	0.8824857118
237	0.8809163157
238	0.8791574199
239	0.8776598069
240	0.8762392172
241	0.8746738315
242	0.8730740824
243	0.8714848144
244	0.8698869058
245	0.8684596755
246	0.8669430331
247	0.8654792227
248	0.8640101902
249	0.8626094122
250	0.8611152715
251	0.8596994414
252	0.8583058454
253	0.8567825084
254	0.8554045423
255	0.8539676235
256	0.8525877661
257	0.851098691
258	0.8496061826
259	0.8482260775
260	0.8468779103
261	0.8454279681
262	0.8440119269
263	0.8424213003
264	0.8411768586
265	0.8397548841
266	0.8385407606
267	0.8372379384
268	0.8358933384
269	0.8345842018
270	0.8331374074
271	0.8318014817
272	0.8303736225
273	0.8290077874
274	0.8276460355
275	0.8263681126
276	0.8252211863
277	0.823837442
278	0.8226241354
279	0.8213764888
280	0.8200326384
